"Admin1","Admin2","ITNtype2020","Départements","Zones sanitaires","Communes","Moustiquaire Standard","Moustiquaire PBO","Moustiquaire IG2","Distribution scolaire de moustiquaire","Chimio Prévention Saisonnière (CPS)","Traitement Préventif Intermittent chez la femme enceinte (TPIg)","Lutte anti-larvaire","Pulvérisation Intra-Domiciliaire (PID)","????","Vaccin","Sensibilisation communautaire","ITNtype2023"
"Mono","grand-popo","standard","Mono","Comè-Bopa-Houéyogbé-Grand-popo","Grand-Popo",1,NA,NA,NA,NA,1,NA,NA,NA,1,1,"standard"
"Mono","houeyogbe","standard","Mono","Comè-Bopa-Houéyogbé-Grand-popo","Houéyogbé",NA,NA,1,NA,NA,1,NA,NA,NA,1,1,"IG2"
"Mono","lokossa","PBO","Mono","Lokossa-Athiémé","Lokossa",NA,NA,1,NA,NA,1,NA,NA,NA,1,1,"IG2"
"Oueme","adjarra","PBO","Ouémé","Avrankou-Adjarra-Akpro-Missrété","Adjarra",NA,NA,1,NA,NA,1,NA,NA,NA,1,1,"IG2"
"Oueme","adjohoun","standard","Ouémé","Adjohoun-Bonou-Dangbo","Adjohoun",NA,NA,1,NA,NA,1,NA,NA,NA,1,1,"IG2"
"Oueme","aguegues","standard","Ouémé","Porto-Novo-Aguégués-Sèmè-podji","Aguégués",1,NA,NA,NA,NA,1,NA,NA,NA,1,1,"standard"
"Oueme","akpro-misserete","PBO","Ouémé","Avrankou-Adjarra-Akpro-Missrété","Akpro-Missereté",NA,NA,1,NA,NA,1,NA,NA,NA,1,1,"IG2"
"Oueme","avrankou","PBO","Ouémé","Avrankou-Adjarra-Akpro-Missrété","Avrankou",NA,NA,1,NA,NA,1,NA,NA,NA,1,1,"IG2"
"Oueme","bonou","standard","Ouémé","Adjohoun-Bonou-Dangbo","Bonou",NA,NA,1,NA,NA,1,NA,NA,NA,1,1,"IG2"
"Oueme","dangbo","standard","Ouémé","Adjohoun-Bonou-Dangbo","Dangbo",1,NA,NA,NA,NA,1,NA,NA,NA,1,1,"standard"
"Oueme","porto-novo","standard","Ouémé","Porto-Novo-Aguégués-Sèmè-podji","Porto-Novo",NA,NA,1,NA,NA,1,NA,NA,NA,1,1,"IG2"
"Oueme","seme-kpodji","standard","Ouémé","Porto-Novo-Aguégués-Sèmè-podji","Sèmè-Kpodji",NA,NA,1,NA,NA,1,NA,NA,NA,1,1,"IG2"
"Plateau","adja-ouere","PBO","Plateau","Pobè-Kétou-Adja-Ouèrè","Adja-Ouèrè",NA,NA,1,NA,NA,1,NA,NA,NA,1,1,"IG2"
"Plateau","ifangni","standard","Plateau","Sakété-Ifangni","Ifangni",NA,NA,1,NA,NA,1,NA,NA,NA,1,1,"IG2"
"Plateau","ketou","PBO","Plateau","Pobè-Kétou-Adja-Ouèrè","Kétou",NA,NA,1,NA,NA,1,NA,NA,NA,1,1,"IG2"
"Plateau","pobe","PBO","Plateau","Pobè-Kétou-Adja-Ouèrè","Pobè",NA,NA,1,NA,NA,1,NA,NA,NA,1,1,"IG2"
"Plateau","sakete","standard","Plateau","Sakété-Ifangni","Sakété",1,NA,NA,NA,NA,1,NA,NA,NA,1,1,"standard"
"Zou","abomey","PBO","Zou","Djidja-Abomey-Agbangnizoun","Abomey",NA,NA,1,NA,NA,1,NA,NA,NA,1,1,"IG2"
"Zou","agbangnizoun","PBO","Zou","Djidja-Abomey-Agbangnizoun","Agbangnizoun",NA,NA,1,NA,NA,1,NA,NA,NA,1,1,"IG2"
"Zou","bohicon","standard","Zou","Bohicon-Zakpota-Zogbodomey","Bohicon",NA,NA,1,NA,NA,1,NA,NA,NA,1,1,"IG2"
"Zou","cove","IG2","Zou","Covè-Ouinhi-Zangnanado","Covè",NA,NA,1,NA,NA,1,NA,NA,NA,1,1,"IG2"
"Zou","djidja","PBO","Zou","Djidja-Abomey-Agbangnizoun","Djidja",NA,NA,1,NA,NA,1,NA,NA,NA,1,1,"IG2"
"Zou","ouinhi","IG2","Zou","Covè-Ouinhi-Zangnanado","Ouinhi",NA,NA,1,NA,NA,1,NA,NA,NA,1,1,"IG2"
"Zou","za-kpota","standard","Zou","Bohicon-Zakpota-Zogbodomey","Za-Kpota",NA,NA,1,NA,NA,1,NA,NA,NA,1,1,"IG2"
"Zou","zangnanado","IG2","Zou","Covè-Ouinhi-Zangnanado","Zangnanado",NA,NA,1,NA,NA,1,NA,NA,NA,1,1,"IG2"
"Zou","zogbodomey","standard","Zou","Bohicon-Zakpota-Zogbodomey","Zogbodomey",NA,NA,1,NA,NA,1,NA,NA,NA,1,1,"IG2"
